"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),Measurement type (type of mass balance observation),MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer
,,2023-04-30T12:0,,3,-73122.41997,217349.6619,3239.02,,,,3,0,5,3,372.3,372.3,0.0,MSW
,,2023-04-30T12:0,,3,-73066.62441,217360.4252,3253.31,,,,3,126,5,3,372.5,372.3,10.1,MSW
,,2023-04-30T12:0,,3,-72999.61117,217369.494,3265.51,,,,3,126,5,3,372.5,372.3,10.1,MSW
,,2023-04-30T12:0,,3,-72963.96845,217414.8645,3276.93,,,,3,438,5,3,374.0,372.3,35.0,MSW
,,2023-04-30T12:0,,3,-72928.85008,217467.0242,3289.09,,,,3,787,5,3,377.6,372.3,63.0,MSW
,,2023-04-30T12:0,,3,-72897.62441,217511.4488,3300.23,,,,3,751,5,3,377.1,372.3,60.1,MSW
,,2023-04-30T12:0,,3,-72775.86719,217563.4321,3320.84,,,,3,769,5,3,377.4,372.3,61.5,MSW
,,2023-04-30T12:0,,3,-72693.02372,217544.7346,3321.14,,,,3,879,5,3,378.9,372.3,70.3,MSW
,,2023-04-30T12:0,,3,-72603.21519,217524.285,3322.99,,,,3,696,5,3,376.5,372.3,55.7,MSW
,,2023-04-30T12:0,,3,-72516.7927,217506.3245,3325.54,,,,3,842,5,3,378.4,372.3,67.4,MSW
,,2023-04-30T12:0,,3,-72447.04789,217478.2288,3321.8,,,,3,604,5,3,375.4,372.3,48.3,MSW
,,2023-04-30T12:0,,3,-72366.95528,217439.3332,3312.47,,,,3,751,5,3,377.1,372.3,60.1,MSW
,,2023-04-30T12:0,,3,-72276.13449,217395.86,3298.83,,,,3,1081,5,3,382.2,372.3,86.5,MSW
,,2023-04-30T12:0,,3,-72160.74886,217380.2196,3285.55,,,,3,751,5,3,377.1,372.3,60.1,MSW
,,2023-04-30T12:0,,3,-72064.35888,217270.0796,3263.82,,,,3,622,5,3,375.6,372.3,49.8,MSW
,,2023-04-30T12:0,,3,-72007.44271,217204.5635,3256.38,,,,3,769,5,3,377.4,372.3,61.5,MSW
,,2023-04-30T12:0,,3,-71944.90248,217139.3132,3249.77,,,,3,971,5,3,380.3,372.3,77.7,MSW
,,2023-04-30T12:0,,3,-71882.41487,217069.6167,3240.94,,,,3,1155,5,3,383.6,372.3,92.4,MSW
,,2023-04-30T12:0,,3,-71933.7567,216994.1873,3228.27,,,,3,1210,5,3,384.7,372.3,96.8,MSW
,,2023-04-30T12:0,,3,-72021.66613,217009.2663,3221.81,,,,3,842,5,3,378.4,372.3,67.4,MSW
,,2023-04-30T12:0,,3,-72126.79924,217031.7838,3214.95,,,,3,1063,5,3,381.9,372.3,85.0,MSW
,,2023-04-30T12:0,,3,-72237.27799,217045.5846,3198.47,,,,3,1155,5,3,383.6,372.3,92.4,MSW
,,2023-04-30T12:0,,3,-72332.61132,217043.4134,3179.02,,,,3,1304,5,3,386.7,372.3,104.3,MSW
,,2023-04-30T12:0,,3,-72439.45246,217006.9159,3163.12,,,,3,1441,5,3,389.8,372.3,115.3,MSW
,,2023-04-30T12:0,,3,-72525.87114,216963.8322,3151.95,,,,3,1355,5,3,387.8,372.3,108.4,MSW
,,2023-04-30T12:0,,3,-72632.06983,216905.6484,3140.84,,,,3,1560,5,3,392.7,372.3,124.8,MSW
,,2023-04-30T12:0,,3,-72781.33912,216865.3415,3123.59,,,,3,911,5,3,379.4,372.3,72.9,MSW
,,2023-04-30T12:0,,3,-72657.84598,216822.6841,3105.8,,,,3,1304,5,3,386.7,372.3,104.3,MSW
,,2023-04-30T12:0,,3,-72571.12638,216797.1585,3095.43,,,,3,979,5,3,380.5,372.3,78.3,MSW
,,2023-04-30T12:0,,3,-72472.66278,216756.9245,3082.4,,,,3,1167,5,3,383.9,372.3,93.4,MSW
,,2023-04-30T12:0,,3,-72327.39604,216674.7578,3063.21,,,,3,1155,5,3,383.6,372.3,92.4,MSW
,,2023-04-30T12:0,,3,-72251.81864,216569.8729,3048.21,,,,3,953,5,3,380.0,372.3,76.2,MSW
,,2023-04-30T12:0,,3,-72376.2594,216572.95,3034.02,,,,3,1136,5,3,383.3,372.3,90.9,MSW
,,2023-04-30T12:0,,3,-72481.34902,216537.5436,3021.56,,,,3,989,5,3,380.6,372.3,79.1,MSW
,,2023-04-30T12:0,,3,-72577.20396,216524.486,3010.78,,,,3,1210,5,3,384.7,372.3,96.8,MSW
,,2023-04-30T12:0,,3,-72667.36232,216499.1291,3003.82,,,,3,916,5,3,379.5,372.3,73.3,MSW
,,2023-04-30T12:0,,3,-72588.86382,216409.7706,2979.57,,,,3,806,5,3,436.4,431.7,64.5,MSW
,,2023-04-30T12:0,,3,-72514.83994,216308.3483,2947.97,,,,3,1026,5,3,439.4,431.7,82.1,MSW
,,2023-04-30T12:0,,3,-72409.34253,216171.851,2926.03,,,,3,567,5,3,434.0,431.7,45.4,MSW
,,2023-04-30T12:0,,3,-72350.12532,216076.5051,2908.99,,,,3,774,5,3,436.1,431.7,61.9,MSW
,,2023-04-30T12:0,,3,-72274.85038,216020.8806,2887.78,,,,3,791,5,3,436.3,431.7,63.3,MSW
,,2023-04-30T12:0,,3,-72214.46315,215927.7457,2866.84,,,,3,552,5,3,433.9,431.7,44.2,MSW
,,2023-04-30T12:0,,3,-72295.14839,215863.9074,2846.3,,,,3,860,5,3,437.1,431.7,68.8,MSW
,,2023-04-30T12:0,,3,-72391.05933,215772.5702,2812.23,,,,3,740,5,3,435.7,431.7,59.2,MSW
,,2023-04-30T12:0,,3,-72466.60217,215732.0209,2801.48,,,,3,586,5,3,434.2,431.7,46.9,MSW
