Name (stake, sounding, probing);Date/Time (begin of period);Date/Time (end of period);Duration [days] (period length);QF date (quality identifier for date);x [m] (x-position of stake, EPSG:31255);y [m] (y-position of stake, EPSG:31255);z [m] (elevation of stake);QF pos (quality identifier for position);MB raw [cm] (raw mass balance measurement);Dens snow/firn/ice [kg/m**3];QF rho (quality identifier for density);MB point [mm w.e./kg/m**2];QF measurement (quality identifier for stake ...);measurement_type;MB point unc [mm w.e.] (Uncertainty of point mass bal...);Reading unc [mm w.e.] (Reading uncertainty of point ...);Density unc [mm w.e.] (Density uncertainty of point ...);Observer
2;2022-10-01T12:00;2023-07-23T12:00;295;1;-72471,58725;215771,554;2806,67;4;-114;900;1;-1026;1;1;21,1;5;20,5;MSW
3;2022-10-01T12:00;2023-07-23T12:00;295;1;-72197,6943;215926,3181;2868,03;4;-55;900;1;-495;1;1;11,1;5;9,9;MSW
4;2022-10-01T12:00;2023-07-23T12:00;295;1;-72445,60091;216163,2883;2923,54;4;-115;900;1;-1035;1;1;21,3;5;20,7;MSW
5;2022-10-01T12:00;2023-07-23T12:00;295;1;-72757,78403;216291,7602;2941,25;4;-56;900;1;-504;1;1;11,3;5;10,1;MSW
8;2022-10-01T12:00;2023-07-23T12:00;295;1;-72866,27656;216677,6983;3040,14;4;-29;900;1;-261;1;1;7,2;5;5,2;MSW
12;2022-10-01T12:00;2023-07-23T12:00;295;1;-72228,56882;216912,9409;3150,88;4;0;900;1;0;1;1;5;5;0;MSW
13;2022-10-01T12:00;2023-07-23T12:00;295;1;-72602,31701;216371,7977;2971,6;4;-85;900;1;-765;1;1;16,1;5;15,3;MSW
14;2022-10-01T12:00;2023-07-23T12:00;295;1;-72050,47018;217231,995;3259,15;4;0;900;1;0;1;1;5;5;0;MSW
16;2022-10-01T12:00;2023-07-23T12:00;295;1;-72439,83403;217726,3149;3367,82;4;0;900;1;0;1;1;5;5;0;MSW
19;2022-10-01T12:00;2023-07-23T12:00;295;1;-72939,33117;217368,3059;3272,2;4;-79;900;1;-711;1;1;15,1;5;14,2;MSW
S3;2022-10-01T12:00;2023-07-23T12:00;295;1;-72842,21121;217503,6502;3303,88;4;0;900;1;0;1;1;5;5;0;MSW
2;2023-07-23T12:00;2023-08-18T12:00;26;1;-72471,58725;215771,554;2806,67;4;-127;900;1;-1143;1;1;23,4;5;22,9;MSW
3;2023-07-23T12:00;2023-08-18T12:00;26;1;-72197,6943;215926,3181;2868,03;4;-90;900;1;-810;1;1;17;5;16,2;MSW
4;2023-07-23T12:00;2023-08-18T12:00;26;1;-72445,60091;216163,2883;2923,54;4;-83;900;1;-747;1;1;15,8;5;14,9;MSW
5;2023-07-23T12:00;2023-08-18T12:00;26;1;-72757,78403;216291,7602;2941,25;4;-109;900;1;-981;1;1;20,2;5;19,6;MSW
8;2023-07-23T12:00;2023-08-18T12:00;26;1;-72866,27656;216677,6983;3040,14;4;-102;900;1;-918;1;1;19;5;18,4;MSW
10;2022-10-01T12:00;2023-08-18T12:00;321;1;-72533,60743;216580,4356;3032,59;4;-50;900;1;-450;1;1;10,3;5;9;MSW
11;2022-10-01T12:00;2023-08-18T12:00;321;1;-72204,70706;216459,7769;3040,1;4;-127;900;1;-1143;1;1;23,4;5;22,9;MSW
12;2023-07-23T12:00;2023-08-18T12:00;26;1;-72228,56882;216912,9409;3150,88;4;0;900;1;0;1;1;5;5;0;MSW
13;2023-07-23T12:00;2023-08-18T12:00;26;1;-72602,31701;216371,7977;2971,6;4;-81;900;1;-729;1;1;15,4;5;14,6;MSW
14;2023-07-23T12:00;2023-08-18T12:00;26;1;-72050,47018;217231,995;3259,15;4;-37;900;1;-333;1;1;8,3;5;6,7;MSW
16;2023-07-23T12:00;2023-08-18T12:00;26;1;-72439,83403;217726,3149;3367,82;4;-29;900;1;-261;1;1;7,2;5;5,2;MSW
19;2023-07-23T12:00;2023-08-18T12:00;26;1;-72939,33117;217368,3059;3272,2;4;-68;900;1;-612;1;1;13,2;5;12,2;MSW
S3;2023-07-23T12:00;2023-08-18T12:00;26;1;-72842,21121;217503,6502;3303,88;4;0;900;1;0;1;1;5;5;0;MSW
2;2023-08-18T12:00;2023-09-18T12:00;31;1;-72471,58725;215771,554;2806,67;4;-140;900;1;-1260;1;1;25,7;5;25,2;MSW
3;2023-08-18T12:00;2023-09-18T12:00;31;1;-72197,6943;215926,3181;2868,03;4;-117;900;1;-1053;1;1;21,6;5;21,1;MSW
4;2023-08-18T12:00;2023-09-18T12:00;31;1;-72445,60091;216163,2883;2923,54;4;-123;900;1;-1107;1;1;22,7;5;22,1;MSW
5;2023-08-18T12:00;2023-09-18T12:00;31;1;-72757,78403;216291,7602;2941,25;4;-165;900;1;-1485;1;1;30,1;5;29,7;MSW
8;2023-08-18T12:00;2023-09-18T12:00;31;1;-72866,27656;216677,6983;3040,14;4;-158;900;1;-1422;1;1;28,9;5;28,4;MSW
10;2023-08-18T12:00;2023-09-18T12:00;31;1;-72533,60743;216580,4356;3032,59;4;-133;900;1;-1197;1;1;24,5;5;23,9;MSW
11;2023-08-18T12:00;2023-09-18T12:00;31;1;-72204,70706;216459,7769;3040,1;4;-149;900;1;-1341;1;1;27,3;5;26,8;MSW
12;2023-08-18T12:00;2023-09-18T12:00;31;1;-72228,56882;216912,9409;3150,88;4;-122;900;1;-1098;1;1;22,5;5;22;MSW
13;2023-08-18T12:00;2023-09-18T12:00;31;1;-72602,31701;216371,7977;2971,6;4;-130;900;1;-1170;1;1;23,9;5;23,4;MSW
14;2023-08-18T12:00;2023-09-18T12:00;31;1;-72050,47018;217231,995;3259,15;4;-108;900;1;-972;1;1;20,1;5;19,4;MSW
15;2022-10-01T12:00;2023-09-18T12:00;352;1;-71823,97234;216197,0753;3046,2;4;-211;900;1;-1899;1;1;38,3;5;38;MSW
16;2023-08-18T12:00;2023-09-18T12:00;31;1;-72439,83403;217726,3149;3367,82;4;-108;900;1;-972;1;1;20,1;5;19,4;MSW
19;2023-08-18T12:00;2023-09-18T12:00;31;1;-72939,33117;217368,3059;3272,2;4;-113;900;1;-1017;1;1;20,9;5;20,3;MSW
S3;2023-08-18T12:00;2023-09-18T12:00;31;1;-72842,21121;217503,6502;3303,88;4;-127;900;1;-1143;1;1;23,4;5;22,9;MSW
2;2023-09-18T12:00;2023-10-01T12:00;13;1;-72471,58725;215771,554;2806,67;4;-43;900;1;-387;1;1;9,2;5;7,7;MSW
3;2023-09-18T12:00;2023-10-01T12:00;13;1;-72197,6943;215926,3181;2868,03;4;-24;900;1;-216;1;1;6,6;5;4,3;MSW
4;2023-09-18T12:00;2023-10-01T12:00;13;1;-72445,60091;216163,2883;2923,54;4;-24;900;1;-216;1;1;6,6;5;4,3;MSW
5;2023-09-18T12:00;2023-10-01T12:00;13;1;-72757,78403;216291,7602;2941,25;4;-35;900;1;-315;1;1;8;5;6,3;MSW
8;2023-09-18T12:00;2023-10-01T12:00;13;1;-72866,27656;216677,6983;3040,14;4;-33;900;1;-297;1;1;7,8;5;5,9;MSW
10;2023-09-18T12:00;2023-10-01T12:00;13;1;-72533,60743;216580,4356;3032,59;4;-21;900;1;-189;1;1;6,3;5;3,8;MSW
11;2023-09-18T12:00;2023-10-01T12:00;13;1;-72204,70706;216459,7769;3040,1;4;-17;900;1;-153;1;1;5,9;5;3,1;MSW
12;2023-09-18T12:00;2023-10-01T12:00;13;1;-72228,56882;216912,9409;3150,88;4;-17;900;1;-153;1;1;5,9;5;3,1;MSW
13;2023-09-18T12:00;2023-10-01T12:00;13;1;-72602,31701;216371,7977;2971,6;4;-35;900;1;-315;1;1;8;5;6,3;MSW
14;2023-09-18T12:00;2023-10-01T12:00;13;1;-72050,47018;217231,995;3259,15;4;-17;900;1;-153;1;1;5,9;5;3,1;MSW
15;2023-09-18T12:00;2023-10-01T12:00;13;1;-71823,97234;216197,0753;3046,2;4;-21;900;1;-189;1;1;6,3;5;3,8;MSW
16;2023-09-18T12:00;2023-10-01T12:00;13;1;-72439,83403;217726,3149;3367,82;4;-17;900;1;-153;1;1;5,9;5;3,1;MSW
19;2023-09-18T12:00;2023-10-01T12:00;13;1;-72939,33117;217368,3059;3272,2;4;-24;900;1;-216;1;1;6,6;5;4,3;MSW
S3;2023-09-18T12:00;2023-10-01T12:00;13;1;-72842,21121;217503,6502;3303,88;4;-17;900;1;-153;1;1;5,9;5;3,1;MSW
FS1;2022-10-01T12:00;2023-04-27T12:00;208;3;-72690,3532;216890,4639;3135,46;2;400;360;2;1440;1;2;231,7;220,2;72;MWS
FS2;2022-10-01T12:00;2023-04-27T12:00;208;3;-71845,45745;216998,6741;3231,37;2;385;360;2;1386;1;2;230,9;220,2;69,3;MWS
FS3;2022-10-01T12:00;2023-04-27T12:00;208;3;-72838,59731;217568,9851;3316,76;2;252;367;2;924,8;1;2;225;220,2;46,2;MWS
FS4;2022-10-01T12:00;2023-04-27T12:00;208;3;-72518,49228;215693,9625;2793,14;2;168;342;2;574,6;1;2;311,5;310,2;28,7;MWS
